,PC1,PC2,cluster_kmeans
147,0.9764092308549406,0.6803198787715224,0
148,-2.178344420037594,-0.6152726028900546,1
149,-1.1110050854495022,0.39132588819105724,1
150,0.4601474694083101,1.3764795760732709,0
151,-0.5419219414096663,0.913632134139888,1
152,3.333637451673664,5.800796941763049,0
153,-0.9002201343711859,0.37455605992113655,1
154,2.848085200497155,1.49493411541208,0
155,4.373921782492364,0.7457890877180648,0
156,0.5665775536832509,0.22041000214210835,0
157,-1.0965184014704192,0.6211038525049796,1
158,0.22881362333886968,0.9721813186024905,0
159,0.6688647348972391,0.6610456835737911,0
160,-2.4141913866350904,0.9479381266538183,1
161,-3.382157427140134,0.602764582696259,1
162,0.39624126252801156,1.1754982792211122,0
163,-2.490227571703608,-0.5231974590536052,1
164,-1.2606302910772897,1.3377503394788532,1
165,2.6734311599456513,-0.24692892091805405,0
166,0.14150511410975183,-0.15130033377511548,1
167,3.060459164762474,1.23184326915432,0
168,-0.9584038239612656,-1.3526868869676867,1
169,-1.0033750171037552,0.7200142897414533,1
170,2.0116177708121814,0.12999806470719025,0
171,-1.874682158652614,0.348923031149109,1
172,2.6268990160109045,0.09531574279674995,0
173,-1.4034883631549464,1.7098273599993181,1
174,-2.6966641048560147,-0.3177048928301776,1
175,-1.1059066338125143,0.7039798039808639,1
176,3.895173554899655,0.7989776815984071,0
177,3.1025088966792045,-0.7906743050942905,0
178,-0.1416398787060289,-1.0214772716304772,1
179,0.7453187613779201,0.5288179568934143,0
180,-2.178043801167756,-0.4993229091746081,1
181,-2.5151458793266834,1.0732720329987435,1
182,1.1212374962222427,-0.4777941875969206,0
183,0.5476324469250415,-0.9958068064208184,0
184,2.0016375315556783,1.1602820441938058,0
185,-0.7141298770300772,0.6432372040700661,1
186,-1.1292608644281252,0.5931602001072334,1
187,-1.6077560051462683,-0.3483029760952292,1
188,-1.0432160123556518,1.0922488762159603,1
189,3.8677019578624527,-0.3023026935281257,0
190,1.5138872545311388,0.557253840200991,0
191,1.0774238804859682,1.6258838880250235,0
192,-1.810280201003445,-0.045217076496176296,1
193,-2.493482297541318,1.0452039489582805,1
194,-2.2018356160593813,1.431332597367289,1
195,-0.23147317551856275,0.5424308538061517,1
196,2.5984787903391724,4.548252852511032,0
197,-1.1480941192676117,1.1944125672167223,1
198,-1.1208344698201922,0.14814798335297977,1
199,-1.202635971549165,-0.48638708331473895,1
200,1.992719265819574,0.01270766400012654,0
201,-0.2929498175611333,0.6129164636096122,1
202,2.668670722850075,1.0351423353249767,0
203,2.406001040059617,-0.3063583003710756,0
204,0.6993741961152298,-0.7242484899363675,0
205,1.3373994505673357,0.5666711512248278,0
206,-0.9477161807750635,0.6469689405251404,1
207,-1.9329499032367496,-0.9097957173533856,1
208,-1.5512892491013035,3.099584945866814,1
209,-1.5149011235132637,-0.6823223388499298,1
210,1.3635731923214711,1.0528842111415158,0
211,0.5200797465730048,0.5294351969334501,0
212,1.5987091716103499,0.7575397825679131,0
213,0.8631869386347344,1.062223145369868,0
214,-0.5360136850982306,1.4497324155393936,1
215,2.120848456342482,0.6197892644270817,0
216,-1.9242466033219106,1.424955598310058,1
217,2.27647524859095,-0.13881090445779015,0
218,-0.4836047193262944,0.715551392016782,1
219,-0.5960961821501508,-0.4716784140878254,1
220,-1.941365076504498,0.5616133032236582,1
221,2.363300295301619,1.1136211495505821,0
222,1.4532401627676934,-0.3686174846165042,0
223,4.921957234186007,-0.241550252095581,0
224,-2.56675562448157,0.9614888135338537,1
225,-1.578122837080796,0.38387056790194335,1
226,-0.3911190728668676,0.636216659578142,1
227,1.4321241679220893,1.2735690943229694,0
228,3.4259309985457977,0.3782892450075275,0
229,3.0318859935885487,0.1693248525220585,0
230,0.5668637019898326,-0.41417878367753425,0
231,1.002185189743784,0.8131387597258666,0
232,-0.4209946144832704,1.2993377719142463,1
233,1.4241989551250023,0.6307001332182293,0
234,1.2320310825624239,0.8119738847241899,0
235,3.0040812195189734,0.6064002169195833,0
236,0.19888234590462808,0.4357360763284434,1
237,-1.1587070455001753,1.5543811618307641,1
238,0.4404912642216169,0.9636423640374259,0
239,-2.4195707176946817,1.0954546789686777,1
240,0.5036032720080079,0.21159746717299835,0
241,1.0713288865017234,1.6032273882569608,0
242,-0.6790440943745248,0.6174333906937212,1
243,1.3092005495884098,0.08247466854785208,0
244,1.3160937818874714,-0.07766374412272957,0
245,2.240929922225406,0.5767367007567337,0
246,-1.4396883317689555,0.5001360002972834,1
247,-0.28064959416326307,-0.1920258436910831,1
248,-0.3945137439140658,-1.029574901632473,1
249,-2.9311250012345322,-0.5496072616199988,1
250,-0.07041302019721966,1.4287597641970156,1
251,0.9045902718522788,1.2810501254106912,0
252,-0.056281138591192645,-0.5875033514640245,1
253,2.3957367723447565,1.0821881381062914,0
254,1.2308775072408276,0.6353961802309054,0
255,0.05326676093389003,0.9407592064017616,1
256,-2.725400076561707,-0.20946510184904513,1
257,-1.3119605389672697,-0.08540969373532475,1
258,3.197882964429736,-0.699122626885588,0
259,1.774182970397529,2.0189649712025846,0
260,-4.108984735817736,0.47266586285442247,1
261,-0.2232762074450963,0.9598151595372768,1
262,2.5065654127978303,0.7951899892111249,0
263,1.2844716525851998,3.391333327937748,0
264,2.082033186582021,0.3088051724860118,0
265,-2.407163050731338,0.6859700844794622,1
266,0.3270872784693325,-0.504768958108188,0
